AAPL_2025-10-30 16:30:35_0000320193-25-000077
HOOD_2025-07-30 16:05:29_0001783879-25-000250
CSCO_2025-10-17 16:13:47_0000858877-25-000145
BULL_2003-08-19 17:17:13_0000950144-03-010240
ADBE_2025-09-11 16:06:22_0000796343-25-000102
TSLA_2025-10-22 16:06:36_0001628280-25-045861
BRK-B_2025-08-04 15:55:28_0001193125-25-172579
BULL_2002-09-26 17:01:25_0000950144-02-010014
PLTR_2025-08-04 16:07:52_0001321655-25-000105
CFLT_2025-03-06 17:00:08_0000950170-25-034869
META_2025-10-29 16:08:34_0001628280-25-047114
NKE_2025-09-30 16:15:31_0000320187-25-000091
ADBE_2025-06-12 16:19:20_0000796343-25-000064
SNOW_2025-07-03 16:04:32_0001640147-25-000150
MU_2025-10-21 16:09:06_0001104659-25-101237
PLTR_2025-06-09 17:10:40_0001321655-25-000084
OKLO_2025-04-22 16:48:00_0001104659-25-037472
SNOW_2025-05-21 16:06:30_0001640147-25-000094
GOOGL_2025-09-03 16:30:34_0001652044-25-000067
BRK-B_2025-05-06 17:11:50_0001193125-25-113900
JNJ_2025-09-08 19:55:25_0000200406-25-000190
RIVN_2025-10-23 19:20:11_0001874178-25-000048
NOW_2025-09-26 16:12:21_0001373715-25-000300
PANW_2025-11-19 16:16:32_0001327567-25-000032
KO_2025-06-26 11:33:16_0000021344-25-000047
JNJ_2026-01-21 07:46:18_0000200406-26-000002
TEM_2025-05-23 06:31:57_0001193125-25-125425
BE_2025-10-29 18:04:11_0001628280-25-047228
AAPL_2025-07-08 21:18:13_0001140361-25-025275
IBM_2026-01-28 16:10:27_0000051143-26-000004
MU_2025-09-23 16:02:28_0000723125-25-000024
AVGO_2025-09-10 16:16:49_0001193125-25-200108
BA_2025-07-03 17:28:04_0000012927-25-000050
LLY_2025-11-21 16:19:05_0000059478-25-000271
QCOM_2025-12-10 16:15:25_0000804328-25-000096
LLY_2025-05-08 16:34:55_0000059478-25-000138
MRVL_2025-09-24 09:15:23_0001193125-25-214314
AVGO_2025-12-11 16:17:37_0001730168-25-000116
LCID_2025-09-02 09:03:13_0001811210-25-000022
CRWV_2025-10-02 09:00:58_0001193125-25-227562
META_2026-01-28 16:04:20_0001628280-26-003832
JNJ_2025-04-30 16:30:48_0000200406-25-000141
OPEN_2025-12-15 07:10:35_0001140361-25-045459
BRK-B_2025-05-08 11:16:20_0001193125-25-115695
BULL_2003-04-15 17:04:42_0000891092-03-000656
GME_2025-10-07 16:13:59_0001326380-25-000091
JPM_2026-01-13 06:41:09_0001628280-26-001902
MSFT_2025-09-30 16:37:10_0001193125-25-225125
LCID_2025-11-17 16:05:33_0001628280-25-052593
JNJ_2025-10-14 07:22:58_0000200406-25-000201
NEE_2025-11-12 15:42:38_0000753308-25-000058
LLY_2025-02-12 15:28:48_0001193125-25-025057
TSLA_2026-01-28 16:11:04_0001628280-26-003837
SMCI_2026-01-26 16:24:58_0001375365-26-000004
APP_2025-11-05 16:07:48_0001751008-25-000079
IREN_2025-11-03 06:27:27_0001140361-25-040072
INTC_2026-01-23 17:13:24_0000050863-26-000031
GE_2025-07-17 06:41:11_0000040545-25-000108
JPM_2026-01-13 10:09:19_0001628280-26-001915
SMR_2025-11-17 17:10:31_0001822966-25-000179
PEP_2025-07-23 16:30:57_0001104659-25-070029
LCID_2025-11-05 16:10:31_0001628280-25-049553
SOUN_2025-05-30 16:05:44_0001213900-25-049463
RR_2025-09-16 16:25:26_0001213900-25-088199
DUOL_2025-11-05 16:02:15_0001628280-25-049514
KO_2025-10-16 16:35:16_0001628280-25-045223
CVNA_2025-05-06 17:06:39_0001690820-25-000156
HIMS_2025-09-05 16:52:49_0001773751-25-000291
MRVL_2025-12-02 16:15:19_0001193125-25-305289
JOBY_2026-01-07 09:01:42_0001819848-26-000040
PANW_2025-11-21 16:05:14_0001193125-25-291350
BA_2025-08-28 17:00:55_0000012927-25-000064
ADBE_2026-01-27 17:04:38_0000796343-26-000019
PLTR_2025-11-03 16:06:20_0001321655-25-000130
GE_2025-07-24 16:11:07_0000930413-25-002225
NKE_2025-07-28 16:17:28_0000320187-25-000053
GOOGL_2025-09-05 16:53:32_0001652044-25-000074
ORCL_2025-12-10 16:14:38_0001193125-25-314207
CNC_2025-07-24 21:46:22_0001071739-25-000151
NFLX_2025-11-14 16:07:30_0001065280-25-000450
SHOP_2025-10-09 16:01:23_0001594805-25-000083
PEP_2025-12-15 08:00:55_0000077476-25-000062
ASTS_2025-11-21 16:12:24_0001493152-25-024627
MSFT_2026-01-28 16:04:38_0001193125-26-027198
CVS_2025-12-09 06:33:11_0000064803-25-000082
ASTS_2025-10-29 09:29:18_0001493152-25-020005
KO_2025-12-10 17:19:43_0001552781-25-000454
CRWV_2026-01-26 09:04:07_0001769628-26-000044
LNTH_2025-05-07 07:38:14_0001628280-25-022871
RIVN_2025-12-19 16:23:30_0001874178-25-000060
LLY_2025-08-07 07:05:40_0000059478-25-000202
GME_2025-06-24 16:06:50_0001326380-25-000059
NVDA_2025-08-05 16:31:08_0001045810-25-000197
NFLX_2026-01-20 07:00:24_0001193125-26-015951
BULL_2004-07-15 17:16:14_0000891092-04-003237
ABT_2026-01-22 07:35:32_0001628280-26-002982
NOW_2025-10-29 16:11:33_0001373715-25-000305
TEM_2025-05-06 16:02:12_0000950170-25-064419
ABT_2025-12-12 16:10:48_0001104659-25-120657
GE_2025-07-29 17:03:32_0000930413-25-002289
NEE_2025-12-08 08:16:44_0000753308-25-000064
AVGO_2026-01-13 16:06:00_0001193125-26-011731
UNH_2026-01-27 06:02:29_0000731766-26-000025
SNOW_2025-09-03 16:29:20_0001640147-25-000181
BA_2026-01-27 07:30:46_0001628280-26-003518
BE_2025-10-28 16:06:37_0001628280-25-046745
RIVN_2025-11-04 16:01:44_0001874178-25-000051
LYFT_2025-08-06 16:09:41_0001759509-25-000123
DUOL_2025-06-12 21:26:18_0001562088-25-000129
LCID_2025-11-12 08:34:35_0001628280-25-051357
LNTH_2025-11-06 07:39:43_0001193125-25-268103
TSLA_2025-11-07 16:27:23_0001104659-25-108507
GOOGL_2025-07-23 16:01:33_0001652044-25-000056
OPEN_2025-10-01 16:05:44_0001801169-25-000086
LCID_2025-10-06 16:06:56_0001628280-25-044292
CVNA_2025-02-19 16:10:42_0001690820-25-000073
CSCO_2025-11-12 16:15:30_0001193125-25-277624
LMND_2025-10-06 17:07:56_0001691421-25-000138
UNH_2025-11-07 16:13:36_0000731766-25-000308
SOUN_2025-08-07 16:29:34_0001628280-25-038931
RIVN_2025-08-05 16:01:27_0001874178-25-000035
SOUN_2025-11-06 16:26:39_0001840856-25-000018
OKLO_2025-06-09 08:30:32_0001104659-25-057630
MSFT_2025-07-30 16:08:53_0000950170-25-100226
PYPL_2025-11-14 16:34:14_0001193125-25-283161
LLY_2025-10-30 07:03:41_0000059478-25-000251
CNC_2025-10-28 20:02:04_0001071739-25-000185
APP_2025-05-07 16:19:46_0001751008-25-000051
AAPL_2026-01-29 16:30:33_0000320193-26-000005
OPEN_2025-11-06 16:24:40_0001801169-25-000090
